d,defect_length,seed,detection_time,alpha_min_reached,recovery_time,sentinel_payoff,tft_payoff
20,10,2,1,0.050000,33,3040.2053,3011.0000
20,50,2,1,0.050000,34,3078.4757,3051.0000
20,100,2,1,0.050000,43,3126.9174,3101.0000
20,200,2,1,0.050000,52,3222.6101,3201.0000
20,500,2,1,0.050000,49,3510.2693,3501.0000
20,10,3,1,0.050000,34,3079.5954,3011.0000
20,50,3,1,0.050000,55,3117.0671,3051.0000
20,100,3,1,0.050000,74,3166.4936,3101.0000
20,200,3,1,0.050000,76,3262.7314,3201.0000
20,500,3,1,0.050000,83,3554.9977,3501.0000
20,10,4,1,0.050000,35,3101.9440,3011.0000
20,50,4,1,0.050000,43,3139.4216,3051.0000
20,100,4,1,0.050000,59,3187.9618,3101.0000
20,200,4,1,0.050000,67,3281.6972,3201.0000
20,500,4,1,0.050000,63,3573.2452,3501.0000
20,10,5,1,0.050000,33,3016.2433,3011.0000
20,50,5,1,0.050000,33,3054.4862,3051.0000
20,100,5,1,0.050000,34,3102.5261,3101.0000
20,200,5,1,0.050000,35,3198.2453,3201.0000
20,500,5,1,0.050000,35,3484.7950,3501.0000
20,10,6,1,0.050000,33,3073.9008,3011.0000
20,50,6,1,0.050000,36,3112.4195,3051.0000
20,100,6,1,0.050000,48,3160.7499,3101.0000
20,200,6,1,0.050000,53,3255.0490,3201.0000
20,500,6,1,0.050000,55,3544.7409,3501.0000
20,10,7,1,0.050000,33,3027.6139,3011.0000
20,50,7,1,0.050000,33,3065.1216,3051.0000
20,100,7,1,0.050000,39,3113.4984,3101.0000
20,200,7,1,0.050000,45,3209.3407,3201.0000
20,500,7,1,0.050000,45,3496.8203,3501.0000
20,10,8,1,0.050000,33,3035.3368,3011.0000
20,50,8,1,0.050000,33,3074.1234,3051.0000
20,100,8,1,0.050000,36,3121.7987,3101.0000
20,200,8,1,0.050000,38,3218.3852,3201.0000
20,500,8,1,0.050000,43,3504.8383,3501.0000
20,10,9,1,0.050000,33,3052.8576,3011.0000
20,50,9,1,0.050000,38,3091.2472,3051.0000
20,100,9,1,0.050000,57,3138.9719,3101.0000
20,200,9,1,0.050000,64,3234.8606,3201.0000
20,500,9,1,0.050000,63,3524.0626,3501.0000
20,10,10,1,0.050000,33,3014.6713,3011.0000
20,50,10,1,0.050000,33,3053.1614,3051.0000
20,100,10,1,0.050000,35,3100.7986,3101.0000
20,200,10,1,0.050000,38,3196.4053,3201.0000
20,500,10,1,0.050000,42,3483.3878,3501.0000
20,10,11,1,0.050000,34,3084.4073,3011.0000
20,50,11,1,0.050000,62,3118.8285,3051.0000
20,100,11,1,0.050000,73,3168.6967,3101.0000
20,200,11,1,0.050000,83,3264.4326,3201.0000
20,500,11,1,0.050000,80,3556.8777,3501.0000
20,10,12,1,0.050000,34,3081.6328,3011.0000
20,50,12,1,0.050000,61,3119.2161,3051.0000
20,100,12,1,0.050000,78,3167.5783,3101.0000
20,200,12,1,0.050000,87,3263.1299,3201.0000
20,500,12,1,0.050000,89,3555.6875,3501.0000
20,10,13,1,0.050000,33,3060.1515,3011.0000
20,50,13,1,0.050000,49,3098.3778,3051.0000
20,100,13,1,0.050000,68,3145.9704,3101.0000
20,200,13,1,0.050000,80,3243.4723,3201.0000
20,500,13,1,0.050000,77,3534.3245,3501.0000
20,10,14,1,0.050000,33,3021.7229,3011.0000
20,50,14,1,0.050000,62,3060.3474,3051.0000
20,100,14,1,0.050000,74,3108.8783,3101.0000
20,200,14,1,0.050000,86,3207.0114,3201.0000
20,500,14,1,0.050000,83,3499.2847,3501.0000
20,10,15,1,0.050000,33,3016.2503,3011.0000
20,50,15,1,0.050000,37,3054.5362,3051.0000
20,100,15,1,0.050000,43,3102.5635,3101.0000
20,200,15,1,0.050000,45,3198.3027,3201.0000
