agent,gamma,seed,action_var,kl_noisy,mean_payoff,mean_action,perturbation_depth,recovery_time
ema_tft,0.900,16,0.00485764,NA,2.885046,0.896921,0.000030,29
ema_tft,0.950,16,0.00238675,NA,2.883976,0.897480,0.006232,59
ema_tft,0.990,16,0.00062501,NA,2.877310,0.901015,0.369730,200
reservoir,1.000,17,0.00010414,0.237313,2.734703,0.972117,0.920907,0
tft,0.000,17,0.09476400,NA,2.879000,0.894000,0.000000,1
ema_tft,0.500,17,0.03259201,NA,2.881258,0.894000,0.000000,5
ema_tft,0.900,17,0.00515086,NA,2.881976,0.894339,0.000030,29
ema_tft,0.950,17,0.00249215,NA,2.880678,0.895098,0.006232,59
ema_tft,0.990,17,0.00052408,NA,2.873200,0.899160,0.369730,200
reservoir,1.000,18,0.00031612,0.438407,2.781553,0.961890,0.786741,0
tft,0.000,18,0.08759100,NA,2.895000,0.903000,0.000000,1
ema_tft,0.500,18,0.02891903,NA,2.894007,0.903000,0.000000,5
ema_tft,0.900,18,0.00466893,NA,2.892996,0.903291,0.000030,29
ema_tft,0.950,18,0.00225653,NA,2.892233,0.903732,0.006232,59
ema_tft,0.990,18,0.00067468,NA,2.886092,0.906929,0.369730,200
reservoir,1.000,19,0.00008948,0.351566,2.710296,0.980252,0.888452,0
tft,0.000,19,0.09672775,NA,2.879500,0.891500,0.000000,1
ema_tft,0.500,19,0.03222822,NA,2.878249,0.891500,0.000000,5
ema_tft,0.900,19,0.00501905,NA,2.878224,0.891542,0.000030,29
ema_tft,0.950,19,0.00245002,NA,2.877645,0.891832,0.006232,59
ema_tft,0.990,19,0.00069872,NA,2.868896,0.896437,0.369730,200
